target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,fb.stopped,trial_counter_2.stopped,feedback.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.014066200000002027,0.020289600000012342,0.013766399999951773,24.988665499999968,-0.07555555555555556,0.19111111111111112,1,0,0,,,,,,,,,,,,,,,,,,,,,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,0,0,0,0,25.097777599999972,,,,,,,,,,,25.025429900000006,25.097777599999972,0.08842499999997244,25.097777599999972,25.097777599999972,31.401550999999984,"[1.1978791999999885, 2.5267888999999855, 3.7321804000000043, 5.120272199999988, 6.407901999999979]","[-0.03611111111111111, -0.24833333333333332, -0.2388888888888889, -0.21333333333333335, 0.2311111111111111]","[0.095, 0.008333333333333333, -0.24944444444444444, -0.14722222222222223, 0.10111111111111111]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1147066999999993, 2.4439821999999936, 3.64922729999995, 5.038077799999996, 6.324825299999986]","['target_1', 'target_0', 'target_3', 'target_4', 'target_2']",31.40509800000001,31.417545200000006,31.417545200000006,32.466274,32.466274,32.402835100000004,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,0,1,1,1,32.466274,,,,,,,,,,,32.40325180000002,32.466274,0.04606439999997747,32.466274,32.466274,39.20596219999999,"[1.1649097000000097, 2.450486099999978, 4.440721800000006, 5.416612799999996, 6.79946289999998]","[0.23666666666666666, -0.17777777777777778, 0.19055555555555556, 0.15944444444444444, -0.20055555555555554]","[0.12111111111111111, 0.25555555555555554, -0.034444444444444444, 0.095, -0.07111111111111111]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.121336499999984, 2.406599099999994, 4.396569699999986, 5.372502300000008, 6.755482700000016]","['target_0', 'target_1', 'target_3', 'target_4', 'target_2']",39.20648970000002,39.21309630000002,39.21309630000002,40.27526660000001,40.27526660000001,40.201745200000005,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
red,0,2,2,2,40.27526660000001,,,,,,,,,,,40.20214440000001,40.27526660000001,0.046449900000027355,40.27526660000001,40.27526660000001,46.53986579999997,"[2.192252900000028, 3.2064311999999973, 4.172616699999992, 5.106875800000012, 6.33176560000004]","[-0.027777777777777776, 0.056666666666666664, 0.22166666666666668, 0.12111111111111111, 0.12444444444444444]","[-0.08388888888888889, -0.205, -0.04888888888888889, 0.06388888888888888, 0.2222222222222222]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2.149505799999986, 3.164719699999978, 4.129742799999974, 5.065325799999982, 6.289121899999998]","['target_2', 'target_0', 'target_1', 'target_4', 'target_3']",46.54035929999998,46.54760019999998,46.54760019999998,47.59759329999997,47.59759329999997,47.5336944,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,1,0,3,0,47.59759329999997,,,,,,,,,,,47.53418909999999,47.59759329999997,0.039808499999992364,47.59759329999997,47.59759329999997,54.251932899999986,"[1.7214045000000056, 2.7036337000000117, 4.901410100000021, 5.8665406000000075, 6.709477700000036]","[0.007222222222222222, -0.04555555555555556, 0.21055555555555555, 0.05388888888888889, 0.019444444444444445]","[0.21555555555555556, 0.13111111111111112, -0.07166666666666667, -0.24333333333333335, -0.15611111111111112]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.6863012000000026, 2.6680791, 4.86576500000001, 5.830641500000013, 6.67396679999996]","['target_2', 'target_0', 'target_1', 'target_3', 'target_4']",54.252752499999986,54.26106699999997,54.26106699999997,,,55.2543814,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,1,1,4,1,55.31854219999997,,,,,,,,,,,55.25490659999997,55.31854219999997,0.049040400000023965,55.31854219999997,55.31854219999997,66.53564080000001,"[2.539614400000005, 3.9828085999999985, 5.612917900000014, 6.842747599999996, 11.281439000000034]","[-0.22944444444444445, -0.18444444444444444, 0.16166666666666665, -0.035555555555555556, -0.1238888888888889]","[-0.19055555555555556, 0.025555555555555557, 0.14277777777777778, 0.02388888888888889, -0.05388888888888889]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2.4952394000000027, 3.937497399999984, 5.568153499999994, 6.797893299999998, 11.236169700000005]","['target_0', 'target_4', 'target_2', 'target_1', 'target_3']",66.53620519999998,66.54345699999999,66.54345699999999,67.61746360000001,67.61746360000001,67.5310591,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
red,1,2,5,2,67.61746360000001,,,,,,,,,,,67.53162249999997,67.61746360000001,0.05315080000002581,67.61746360000001,67.61746360000001,73.33857690000002,"[1.5931635000000028, 2.673992499999997, 3.7228554000000145, 4.91852990000001, 5.799997000000019]","[-0.2411111111111111, -0.21444444444444444, -0.20277777777777778, -0.04, -0.03277777777777778]","[0.11277777777777778, 0.01611111111111111, -0.13944444444444445, -0.07555555555555556, 0.021111111111111112]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.543757200000016, 2.6236739000000284, 3.6733417000000372, 4.868918199999996, 5.750574200000017]","['target_2', 'target_0', 'target_4', 'target_3', 'target_1']",73.33946029999998,73.34757129999997,73.34757129999997,,,74.34072170000002,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,2,0,6,0,74.42448939999997,,,,,,,,,,,74.34122589999998,74.42448939999997,0.06478659999999081,74.42448939999997,74.42448939999997,80.3565635,"[1.3937748999999826, 2.9617357999999854, 3.885242699999992, 4.702657200000033, 6.015100300000029]","[0.13666666666666666, -0.05333333333333334, -0.21222222222222223, -0.06722222222222222, 0.20166666666666666]","[0.17055555555555554, 0.10055555555555555, -0.11888888888888889, -0.22944444444444445, -0.0077777777777777776]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.334404099999972, 2.9019382999999266, 3.825671199999931, 4.642414200000019, 5.9549420999999825]","['target_3', 'target_0', 'target_2', 'target_4', 'target_1']",80.35743809999997,80.36603309999998,80.36603309999998,81.44391970000004,81.44391970000004,81.3512892,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
white,2,1,7,1,81.44391970000004,,,,,,,,,,,81.35186780000004,81.44391970000004,0.06106599999998252,81.44391970000004,81.44391970000004,86.57076889999996,"[1.1274531999999908, 1.9379600999999411, 3.132318899999973, 4.054041299999994, 5.212048999999979]","[-0.10444444444444445, -0.13444444444444445, -0.028333333333333332, 0.1322222222222222, 0.21666666666666667]","[0.11777777777777777, 0.05388888888888889, -0.145, -0.008888888888888889, -0.17666666666666667]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.0718058999999585, 1.8829365999999936, 3.076695500000028, 3.998852700000043, 5.156231199999979]","['target_3', 'target_2', 'target_1', 'target_0', 'target_4']",86.57133850000002,86.57896129999995,86.57896129999995,,,87.5720652,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
red,2,2,8,2,87.65628349999997,,,,,,,,,,,87.57255999999995,87.65628349999997,0.06871200000000499,87.65628349999997,87.65628349999997,92.55311559999996,"[1.4402714000000287, 2.3501768999999513, 3.210640099999978, 4.103761299999974, 4.979661100000044]","[0.08833333333333333, 0.1338888888888889, 0.19611111111111112, 0.027777777777777776, -0.15666666666666668]","[0.22611111111111112, 0.0811111111111111, -0.1238888888888889, -0.21166666666666667, -0.16944444444444445]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3766442000001007, 2.2866088000000673, 3.146839800000066, 4.0401028, 4.915834500000074]","['target_1', 'target_4', 'target_2', 'target_3', 'target_0']",92.55404120000003,92.56318160000001,92.56318160000001,93.62729049999996,93.62729049999996,93.54947440000001,,,27,001,2026-02-07_05h42.18.301,visual_search,2024.1.5,None,2026-02-07 05h43.51.340644 +0530,
