target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,instruct.started,trial.stopped,click_times,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.00451229999998759,0.011115700000118522,0.00460849999990387,18.44018670000014,-0.042222222222222223,-0.028333333333333332,1,0,0,,,,,,,,,,,,,,,,,,,,,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,0,0,0,1,18.59117090000018,,,,,,,,,,,18.492632200000116,18.59117090000018,0.12543649999997797,18.59117090000018,18.59117090000018,27.340264899999966,"[3.0651622999998835, 4.36504930000001, 5.560624799999914, 7.610380099999929, 8.898385299999973]","[-0.06111111111111111, 0.18055555555555555, 0.04666666666666667, -0.11277777777777778, -0.06166666666666667]","[0.23, 0.21555555555555556, -0.0033333333333333335, -0.23277777777777778, -0.16722222222222222]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2.9471975000001294, 4.247112200000174, 5.442277499999818, 7.492171400000188, 8.77990490000002]","['target_2', 'target_0', 'target_4', 'target_1', 'target_3']",27.34126070000002,27.35930989999997,27.35930989999997,28.355646200000137,,,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
red,0,1,1,2,28.456529300000057,,,,,,,,,,,28.35668450000003,28.456529300000057,0.0897595999999794,28.456529300000057,28.456529300000057,34.806610699999965,"[1.9270558999996865, 2.951241199999913, 3.767512799999622, 5.233250699999644, 6.463698999999906]","[-0.009444444444444445, -0.03666666666666667, -0.1461111111111111, 0.17166666666666666, 0.19777777777777777]","[0.024444444444444446, -0.06388888888888888, 0.03166666666666667, 0.17555555555555555, 0.07333333333333333]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.8404856000001928, 2.864477000000079, 3.6805080000003727, 5.146212399999968, 6.376773899999989]","['target_3', 'target_2', 'target_4', 'target_0', 'target_1']",34.80724959999998,34.81456640000033,34.81456640000033,35.807085299999926,35.90435520000028,35.90435520000028,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,0,2,2,0,35.90435520000028,,,,,,,,,,,35.807775199999924,35.90435520000028,0.0742403999997805,35.90435520000028,35.90435520000028,41.80909569999994,"[1.4303436000000147, 2.9286050999999134, 3.9169200999999703, 4.301065299999664, 5.999281499999597]","[0.07777777777777778, -0.14833333333333334, -0.12777777777777777, -0.20055555555555554, 0.24055555555555555]","[0.16666666666666666, 0.049444444444444444, -0.052222222222222225, -0.04, -0.08055555555555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3617098999998234, 2.8599308000002566, 3.8478934999998273, 4.61245689999987, 5.931077100000039]","['target_0', 'target_3', 'target_4', 'target_1', 'target_2']",41.81015920000027,41.818161200000304,41.818161200000304,42.806064600000354,42.89448070000026,42.89448070000026,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
red,1,0,3,2,42.89448070000026,,,,,,,,,,,42.806728999999905,42.89448070000026,0.058821899999657035,42.89448070000026,42.89448070000026,49.2562739,"[1.6143724999997175, 2.581176299999697, 3.6250209999998333, 5.442820299999767, 6.444635699999708]","[-0.030555555555555555, -0.2411111111111111, -0.24388888888888888, 0.023333333333333334, 0.20666666666666667]","[0.17166666666666666, 0.06722222222222222, -0.21722222222222223, -0.10388888888888889, -0.08722222222222223]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.5607101000000512, 2.5272910999997293, 3.5709382000000005, 5.389100299999882, 6.3905282999999145]","['target_1', 'target_4', 'target_3', 'target_0', 'target_2']",49.25695220000034,49.264831700000286,49.264831700000286,50.25257439999996,50.34158419999994,50.34158419999994,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,1,1,4,1,50.34158419999994,,,,,,,,,,,50.253286800000296,50.34158419999994,0.05991149999999834,50.34158419999994,50.34158419999994,56.46507680000013,"[1.1405862999999954, 1.9965345999999045, 4.350534299999708, 5.255074499999864, 6.206232]","[-0.1111111111111111, -0.1622222222222222, 0.01611111111111111, 0.07777777777777778, 0.15777777777777777]","[0.11888888888888889, 0.225, -0.18166666666666667, -0.25, -0.15555555555555556]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.0861456000002363, 1.9417661000002227, 4.295452899999873, 5.200056199999835, 6.15160620000006]","['target_2', 'target_1', 'target_4', 'target_0', 'target_3']",56.465760500000215,56.47429150000016,56.47429150000016,57.4675986000002,,,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,1,2,5,0,57.55639000000019,,,,,,,,,,,57.46841339999992,57.55639000000019,0.06785179999997126,57.55639000000019,57.55639000000019,62.89877810000007,"[1.2710676000001513, 2.24220779999996, 3.374029900000096, 3.8736079999998765, 5.4314290000002075]","[-0.20444444444444446, 0.006666666666666667, 0.1461111111111111, 0.01888888888888889, 0.0022222222222222222]","[0.115, 0.13944444444444445, 0.20666666666666667, -0.03888888888888889, -0.17888888888888888]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.2061705999999504, 2.177060999999867, 3.308637500000259, 4.2645941999999195, 5.366168000000016]","['target_3', 'target_0', 'target_1', 'target_2', 'target_4']",62.899454700000206,62.90724970000019,62.90724970000019,63.90002910000021,,,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
red,2,0,6,2,64.00431930000013,,,,,,,,,,,63.90074860000004,64.00431930000013,0.07267110000020693,64.00431930000013,64.00431930000013,69.29567020000013,"[1.4298830000002454, 2.4635051999998723, 3.465495800000099, 4.3970227999998315, 5.394342600000073]","[-0.22666666666666666, 0.21444444444444444, -0.008888888888888889, -0.17, 0.11444444444444445]","[0.1411111111111111, 0.20722222222222222, 0.0005555555555555556, -0.16111111111111112, -0.10055555555555555]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3650692000001072, 2.398240900000019, 3.400039800000286, 4.332117599999947, 5.329201999999896]","['target_2', 'target_1', 'target_3', 'target_0', 'target_4']",69.29636699999992,69.30417519999992,69.30417519999992,70.29901280000013,,,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,2,1,7,1,70.38847350000015,,,,,,,,,,,70.29974960000027,70.38847350000015,0.07001599999966857,70.38847350000015,70.38847350000015,77.32055260000016,"[1.4320078999999168, 2.890421300000071, 3.919294099999661, 5.776440799999818, 7.022640899999715]","[0.030555555555555555, 0.04833333333333333, 0.22055555555555556, 0.09444444444444444, 0.1922222222222222]","[0.235, 0.15166666666666667, 0.1272222222222222, -0.07666666666666666, -0.18777777777777777]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.3670296999998754, 2.8254073999996763, 3.8538721999998415, 5.710975299999973, 6.957210600000053]","['target_3', 'target_2', 'target_1', 'target_0', 'target_4']",77.32117740000012,77.32904809999991,77.32904809999991,78.31567760000007,78.40802940000003,78.40802940000003,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,2,2,8,0,78.40802940000003,,,,,,,,,,,78.31639739999991,78.40802940000003,0.06221789999972316,78.40802940000003,78.40802940000003,84.07994430000008,"[1.6314681999997447, 2.5051625999999487, 3.8080457999999453, 4.965250599999763, 5.757235599999603]","[-0.09111111111111111, 0.21555555555555556, -0.075, 0.10055555555555555, 0.18055555555555555]","[0.03611111111111111, -0.03277777777777778, -0.2088888888888889, -0.2011111111111111, -0.21166666666666667]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.5748583999998118, 2.723550299999715, 3.7506494999997813, 4.907875299999887, 5.699894500000028]","['target_3', 'target_4', 'target_0', 'target_1', 'target_2']",84.08063990000028,84.0884375999999,84.0884375999999,85.0814392000002,85.17054740000003,85.17054740000003,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
white,3,0,9,0,85.17054740000003,,,,,,,,,,,85.08223910000015,85.17054740000003,0.06626200000027893,85.17054740000003,85.17054740000003,90.28552050000008,"[1.27874410000004, 2.117036300000109, 2.466642700000193, 3.8677741999999853, 5.2033652000000075]","[-0.0044444444444444444, 0.017222222222222222, 0.05388888888888889, -0.11277777777777778, 0.2]","[0.20722222222222222, 0.005555555555555556, -0.13555555555555557, -0.10611111111111111, -0.18]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.2176018000000113, 2.055676399999811, 2.832602799999677, 3.8062898999996833, 5.141818999999941]","['target_1', 'target_4', 'target_0', 'target_3', 'target_2']",90.28620460000002,90.29420870000013,90.29420870000013,91.28019380000023,91.37243239999998,91.37243239999998,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
red,3,1,10,2,91.37243239999998,,,,,,,,,,,91.28075680000029,91.37243239999998,0.06340820000013991,91.37243239999998,91.37243239999998,97.51193090000015,"[1.4736817000002702, 2.4565364000000045, 4.060792900000251, 4.988489700000173, 6.2242128000002594]","[-0.16666666666666666, -0.20444444444444446, -0.059444444444444446, 0.08, -0.20444444444444446]","[0.165, -0.05333333333333334, 0.056666666666666664, 0.05444444444444444, -0.17166666666666666]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.4134734999997818, 2.396107099999881, 4.0002285999999, 4.927934099999675, 6.163573399999677]","['target_2', 'target_0', 'target_1', 'target_4', 'target_3']",97.51261280000017,97.5204675,97.5204675,98.51214340000024,98.59989029999997,98.59989029999997,,,34,001,2026-02-08_07h04.24.925,visual_search,2024.1.5,None,2026-02-08 07h04.45.786152 +0530,
