target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0034556000000520726,0.0078561999998783,0.0030874999993102392,16.530548099999578,0.03388888888888889,-0.17166666666666666,1,0,0,,,,,,,,,,,,,,,,,,,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
red,0,0,0,[-0.135],[0.09],[1],[0],[0],[2.628650800000287],"['target', 'target']",0,0,0,2,16.595216400000027,,,,,,,,,,,16.582519099999445,16.595216400000027,0.05170019999968645,16.595216400000027,16.595216400000027,16.595216400000027,19.212353599999915,[-0.135],[0.09],[1],[0],[0],[2.628650800000287],"['target', 'target']",19.227840300000025,19.233368999999584,19.233368999999584,20.227239499999996,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,1,1,0,[-0.18333333333333332],[0.16444444444444445],[1],[0],[0],[1.5916637999998784],"['target', 'target']",0,1,1,1,20.284660899999835,,,,,,,,,,,20.269587699999647,20.284660899999835,0.05693100000007689,20.284660899999835,20.284660899999835,20.284660899999835,21.862275899999986,[-0.18333333333333332],[0.16444444444444445],[1],[0],[0],[1.5916637999998784],"['target', 'target']",21.874254199999996,21.87853779999932,21.87853779999932,22.878103799999735,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,2,2,0,[0.01888888888888889],[-0.09666666666666666],[1],[0],[0],[1.7272648999996818],"['target', 'target']",0,2,2,0,22.929591699999946,,,,,,,,,,,22.918002599999454,22.929591699999946,0.055509900000288326,22.929591699999946,22.929591699999946,22.929591699999946,24.646170699999857,[0.01888888888888889],[-0.09666666666666666],[1],[0],[0],[1.7272648999996818],"['target', 'target']",24.65955159999976,24.66487739999957,24.66487739999957,25.662704499999563,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,3,0,1,[-0.03166666666666667],[-0.15333333333333332],[1],[0],[0],[1.38530769999943],"['target', 'target']",1,0,3,1,25.72869659999924,,,,,,,,,,,25.713460299999497,25.72869659999924,0.06707279999955063,25.72869659999924,25.72869659999924,25.72869659999924,27.10005699999965,[-0.03166666666666667],[-0.15333333333333332],[1],[0],[0],[1.38530769999943],"['target', 'target']",27.10889689999931,27.11440219999986,27.11440219999986,28.11253089999991,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,4,1,1,[-0.13277777777777777],[-0.13555555555555557],[1],[0],[0],[1.3860214000005726],"['target', 'target']",1,1,4,0,28.158672999999908,,,,,,,,,,,28.146837699999196,28.158672999999908,0.04631859999972221,28.158672999999908,28.158672999999908,28.158672999999908,29.533751499999198,[-0.13277777777777777],[-0.13555555555555557],[1],[0],[0],[1.3860214000005726],"['target', 'target']",29.542212899999868,29.547474499999225,29.547474499999225,30.54763920000005,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
red,5,2,1,[-0.07388888888888889],[0.24222222222222223],[1],[0],[0],[1.588337799999863],"['target', 'target']",1,2,5,2,30.60719649999919,,,,,,,,,,,30.593145599999843,30.60719649999919,0.05894540000008419,30.60719649999919,30.60719649999919,30.60719649999919,32.18251479999981,[-0.07388888888888889],[0.24222222222222223],[1],[0],[0],[1.588337799999863],"['target', 'target']",32.192803099999765,32.197364099999504,32.197364099999504,33.1823732999992,33.23163989999921,33.23163989999921,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
red,6,0,2,[0.024444444444444446],[0.21611111111111111],[1],[0],[0],[1.0961889000000156],"['target', 'target']",2,0,6,2,33.23163989999921,,,,,,,,,,,33.21956729999965,33.23163989999921,0.03682360000038898,33.23163989999921,33.23163989999921,33.23163989999921,34.316459899999245,[0.024444444444444446],[0.21611111111111111],[1],[0],[0],[1.0961889000000156],"['target', 'target']",34.325077199999214,34.33080239999981,34.33080239999981,35.31794109999919,35.368098899999495,35.368098899999495,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,7,1,2,[-0.205],[0.20166666666666666],[1],[0],[0],[1.32670490000055],"['target', 'target']",2,1,7,1,35.368098899999495,,,,,,,,,,,35.3563596999993,35.368098899999495,0.039609399999790185,35.368098899999495,35.368098899999495,35.368098899999495,36.68392769999991,[-0.205],[0.20166666666666666],[1],[0],[0],[1.32670490000055],"['target', 'target']",36.69298189999972,36.698896500000046,36.698896500000046,37.68447389999983,37.74280980000003,37.74280980000003,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
white,8,2,2,[0.17666666666666667],[-0.06944444444444445],[1],[0],[0],[1.6365849000003436],"['target', 'target']",2,2,8,0,37.74280980000003,,,,,,,,,,,37.73091309999927,37.74280980000003,0.046759799999563256,37.74280980000003,37.74280980000003,37.74280980000003,39.3685803999997,[0.17666666666666667],[-0.06944444444444445],[1],[0],[0],[1.6365849000003436],"['target', 'target']",39.37846029999946,39.38449499999933,39.38449499999933,40.383710000000065,,,,,10,001,2026-02-04_09h40.03.955,visual_search,,2025.2.4,59.860345813196105,2026-02-04 09h40.04.124925 +0530,
