target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.008347699999831093,0.015830499999538006,0.007756500000141386,12.944875899999715,-0.04833333333333333,0.1811111111111111,1,0,0,,,,,,,,,,,,,,,,,,,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,0,0,0,0,13.111488099999406,,,,,,,,,,,12.994496100000106,13.111488099999406,0.13435130000016215,13.111488099999406,13.111488099999406,13.111488099999406,15.54339600000003,[0.14166666666666666],[-0.03611111111111111],[1],[0],[0],[2.4630092999996123],['target'],15.54474289999962,15.569577299999764,15.569577299999764,16.54825139999957,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
red,0,1,1,2,16.648116299999856,,,,,,,,,,,16.548785599999974,16.648116299999856,0.07775909999963915,16.648116299999856,16.648116299999856,16.648116299999856,18.21325759999945,[-0.04],[-0.23],[1],[0],[0],[1.5900179000000207],['target'],18.21407029999955,18.23266650000005,18.23266650000005,19.219366100000116,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,0,2,2,1,19.319248899999366,,,,,,,,,,,19.219889499999226,19.319248899999366,0.0785663000006025,19.319248899999366,19.319248899999366,19.319248899999366,20.601975999999922,[-0.15555555555555556],[-0.021666666666666667],[1],[0],[0],[1.3087365000001228],['target'],20.60279679999985,20.622452099999464,20.622452099999464,21.60792499999934,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,1,0,3,1,21.712563499999305,,,,,,,,,,,21.60848209999949,21.712563499999305,0.08293219999995927,21.712563499999305,21.712563499999305,21.712563499999305,23.128288599999905,[-0.0044444444444444444],[-0.11444444444444445],[1],[0],[0],[1.4417351000001872],['target'],23.129264899999725,23.147516899999573,23.147516899999573,24.135284599999977,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
red,1,1,4,2,24.241685099999813,,,,,,,,,,,24.135821699999724,24.241685099999813,0.08132280000063474,24.241685099999813,24.241685099999813,24.241685099999813,25.41044729999976,[0.025],[0.17722222222222223],[1],[0],[0],[1.1991854999996576],['target'],25.41125920000013,25.43163039999945,25.43163039999945,26.418353000000025,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,1,2,5,0,26.522732299999916,,,,,,,,,,,26.419006199999785,26.522732299999916,0.08264799999960815,26.522732299999916,26.522732299999916,26.522732299999916,27.6649067999997,[0.11222222222222222],[0.15944444444444444],[1],[0],[0],[1.1700227999999697],['target'],27.665756299999885,27.68389329999991,27.68389329999991,28.667919699999402,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,2,0,6,1,28.769971099999566,,,,,,,,,,,28.66845639999974,28.769971099999566,0.07759489999989455,28.769971099999566,28.769971099999566,28.769971099999566,29.687375699999393,[0.12944444444444445],[0.115],[1],[0],[0],[0.9432764000002862],['target'],29.68817779999972,29.706260199999633,29.706260199999633,30.695502799999304,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
red,2,1,7,2,30.80087519999961,,,,,,,,,,,30.696304099999907,30.80087519999961,0.08258679999926244,30.80087519999961,30.80087519999961,30.80087519999961,31.865791299999728,[-0.1411111111111111],[0.03388888888888889],[1],[0],[0],[1.0943475999993098],['target'],31.867226299999857,31.88547429999926,31.88547429999926,32.86743739999929,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
white,2,2,8,0,32.97046829999999,,,,,,,,,,,32.867970799999966,32.97046829999999,0.07517109999935201,32.97046829999999,32.97046829999999,32.97046829999999,34.788495499999954,[0.1461111111111111],[-0.05611111111111111],[1],[0],[0],[1.8453191999997216],['target'],34.78932589999931,34.811218499999995,34.811218499999995,35.794295599999714,,,,13,001,2026-02-04_11h30.37.231,visual_search,2024.1.5,None,2026-02-04 11h33.00.989340 +0530,
