target_col,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,thanks.started,endMsg.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0042896999999584295,0.01441859999999906,0.00380110000003242,2.924675499999921,0.225,-0.1988888888888889,1,0,0,,,,,,,,,,,,,,,,,,,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,0,0,0,[-0.1288888888888889],[-0.10388888888888889],[1],[0],[0],[1.5952063999999382],"['target', 'target']",0,0,0,1,3.1221537000000126,,,,,,,,,,,3.100474200000008,3.1221537000000126,0.17551370000001043,3.1221537000000126,3.1221537000000126,3.1221537000000126,4.697211599999946,[-0.1288888888888889],[-0.10388888888888889],[1],[0],[0],[1.5952063999999382],"['target', 'target']",4.7221262999999,4.733333399999992,4.733333399999992,5.706444799999986,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
red,1,1,0,[-0.10777777777777778],[-0.18833333333333332],[1],[0],[0],[2.0493465000000697],"['target', 'target']",0,1,1,2,5.779646500000013,,,,,,,,,,,5.760676099999955,5.779646500000013,0.0625363000000334,5.779646500000013,5.779646500000013,5.779646500000013,7.811009899999931,[-0.10777777777777778],[-0.18833333333333332],[1],[0],[0],[2.0493465000000697],"['target', 'target']",7.824711699999966,7.829736799999978,7.829736799999978,8.8244416,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,2,2,0,[-0.10611111111111111],[0.11166666666666666],[1],[0],[0],[1.2118295000000217],"['target', 'target']",0,2,2,0,8.898378099999945,,,,,,,,,,,8.880775499999913,8.898378099999945,0.06948379999994359,8.898378099999945,8.898378099999945,8.898378099999945,10.093939599999999,[-0.10611111111111111],[0.11166666666666666],[1],[0],[0],[1.2118295000000217],"['target', 'target']",10.105533499999979,10.111660099999995,10.111660099999995,11.107703799999967,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,3,0,1,[-0.18333333333333332],[0.04555555555555556],[1],[0],[0],[1.2205835999999408],"['target', 'target']",1,0,3,1,11.199819599999955,,,,,,,,,,,11.172919099999945,11.199819599999955,0.07856780000008712,11.199819599999955,11.199819599999955,11.199819599999955,12.394609399999922,[-0.18333333333333332],[0.04555555555555556],[1],[0],[0],[1.2205835999999408],"['target', 'target']",12.407176899999968,12.41408709999996,12.41408709999996,13.408159899999987,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
red,4,1,1,[0.18555555555555556],[-0.08],[1],[0],[0],[1.151955799999996],"['target', 'target']",1,1,4,2,13.476084799999967,,,,,,,,,,,13.458456699999942,13.476084799999967,0.06354399999997895,13.476084799999967,13.476084799999967,13.476084799999967,14.612003200000004,[0.18555555555555556],[-0.08],[1],[0],[0],[1.151955799999996],"['target', 'target']",14.630701499999986,14.63802899999996,14.63802899999996,15.625593199999912,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,5,2,1,[0.21222222222222223],[-0.049444444444444444],[1],[0],[0],[1.371493800000053],"['target', 'target']",1,2,5,0,15.709527600000001,,,,,,,,,,,15.689923199999953,15.709527600000001,0.07702159999996638,15.709527600000001,15.709527600000001,15.709527600000001,17.06247369999994,[0.21222222222222223],[-0.049444444444444444],[1],[0],[0],[1.371493800000053],"['target', 'target']",17.08063979999997,17.08764259999998,17.08764259999998,18.076251399999933,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,6,0,2,[-0.03111111111111111],[-0.06222222222222222],[1],[0],[0],[1.4743415000000368],"['target', 'target']",2,0,6,0,18.180637899999965,,,,,,,,,,,18.155510299999946,18.180637899999965,0.09269430000006196,18.180637899999965,18.180637899999965,18.180637899999965,19.63107059999993,[-0.03111111111111111],[-0.06222222222222222],[1],[0],[0],[1.4743415000000368],"['target', 'target']",19.644824299999982,19.651524999999992,19.651524999999992,20.64391719999992,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
red,7,1,2,[0.2011111111111111],[-0.10333333333333333],[1],[0],[0],[1.0980438999999933],"['target', 'target']",2,1,7,2,20.718646299999932,,,,,,,,,,,20.698726999999963,20.718646299999932,0.06728399999997237,20.718646299999932,20.718646299999932,20.718646299999932,21.797810400000003,[0.2011111111111111],[-0.10333333333333333],[1],[0],[0],[1.0980438999999933],"['target', 'target']",21.814042099999938,21.821838699999944,21.821838699999944,22.810907199999974,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
white,8,2,2,[0.10111111111111111],[-0.21944444444444444],[1],[0],[0],[1.175803999999971],"['target', 'target']",2,2,8,1,22.909220199999936,,,,,,,,,,,22.888281299999903,22.909220199999936,0.09015429999999469,22.909220199999936,22.909220199999936,22.909220199999936,24.065355599999975,[0.10111111111111111],[-0.21944444444444444],[1],[0],[0],[1.175803999999971],"['target', 'target']",24.08103499999993,24.08862149999993,24.08862149999993,25.078025299999922,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
red,9,0,3,[0.21444444444444444],[-0.21222222222222223],[1],[0],[0],[0.9025376000000733],"['target', 'target']",3,0,9,2,25.17329869999992,,,,,,,,,,,25.145038099999965,25.17329869999992,0.07928649999996651,25.17329869999992,25.17329869999992,25.17329869999992,26.048832099999913,[0.21444444444444444],[-0.21222222222222223],[1],[0],[0],[0.9025376000000733],"['target', 'target']",26.0604108,26.066764199999966,26.066764199999966,27.062010600000008,,,15,001,2026-02-05_11h48.54.725,visual_search,,2025.2.4,59.91188160454328,2026-02-05 11h48.55.334616 +0530,
