target_col,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instrTxt.started,startMouse.started,instructions.stopped,startMouse.x,startMouse.y,startMouse.leftButton,startMouse.midButton,startMouse.rightButton,trial.started,square.started,mouse.started,trial_counter.started,target.started,instruct.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,feedback.started,fb.started,trial_counter_2.started,feedback.stopped,fb.stopped,trial_counter_2.stopped,thanks.started,endMsg.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,0.009029700002429308,0.01867610000044806,0.008448100001260173,30.49768260000201,0.01888888888888889,0.013333333333333334,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,0,0,0,0,30.579925800000638,,,,,,,,,,,30.510174600000028,30.579925800000638,0.06290179999996326,30.579925800000638,30.579925800000638,30.579925800000638,32.17481950000001,[0.18944444444444444],[-0.08388888888888889],[1],[0],[0],[1.6135176999996474],['target'],32.17633420000129,32.1934175000024,32.1934175000024,33.18012129999988,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
red,0,1,1,2,33.250012600001355,,,,,,,,,,,33.181185400000686,33.250012600001355,0.05595539999922039,33.250012600001355,33.250012600001355,33.250012600001355,35.12060520000159,[-0.020555555555555556],[0.19833333333333333],[1],[0],[0],[1.887859300000855],['target'],35.121154399999796,35.13581139999951,35.13581139999951,36.130043000001024,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,0,2,2,1,36.20231870000134,,,,,,,,,,,36.13145930000246,36.20231870000134,0.06305440000141971,36.20231870000134,36.20231870000134,36.20231870000134,37.93067270000029,[-0.23444444444444446],[-0.009444444444444445],[1],[0],[0],[1.7460783999995328],['target'],37.93116540000119,37.94414239999969,37.94414239999969,38.928979600001185,38.99302330000137,38.99302330000137,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,1,0,3,1,38.99302330000137,,,,,,,,,,,38.929456100002426,38.99302330000137,0.044232099997316254,38.99302330000137,38.99302330000137,38.99302330000137,40.119998100002704,[0.14777777777777779],[0.12111111111111111],[1],[0],[0],[1.1439540999999736],['target'],40.12084070000128,40.1355051999999,40.1355051999999,41.12833500000124,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
red,1,1,4,2,41.20557010000266,,,,,,,,,,,41.12901620000048,41.20557010000266,0.06555049999951734,41.20557010000266,41.20557010000266,41.20557010000266,42.65325550000125,[-0.14833333333333334],[-0.13055555555555556],[1],[0],[0],[1.4664333000000624],['target'],42.6538412000009,42.66589759999988,42.66589759999988,43.662239000001136,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,1,2,5,0,43.73486970000158,,,,,,,,,,,43.663288900002954,43.73486970000158,0.06276440000146977,43.73486970000158,43.73486970000158,43.73486970000158,45.91693950000263,[0.15666666666666668],[0.065],[1],[0],[0],[2.199846899999102],['target'],45.91746899999998,45.93091480000294,45.93091480000294,46.927674800001114,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
red,2,0,6,2,46.999405800001114,,,,,,,,,,,46.92846190000273,46.999405800001114,0.0629981999991287,46.999405800001114,46.999405800001114,46.999405800001114,48.551491400001396,[0.19666666666666666],[0.1988888888888889],[1],[0],[0],[1.570393599999079],['target'],48.5520045000012,48.56433390000166,48.56433390000166,49.56114660000094,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,2,1,7,0,49.6311867000004,,,,,,,,,,,49.56239300000016,49.6311867000004,0.06059119999918039,49.6311867000004,49.6311867000004,49.6311867000004,51.18385750000016,[-0.05388888888888889],[-0.11388888888888889],[1],[0],[0],[1.5708950000007462],['target'],51.18439600000056,51.19305540000278,51.19305540000278,52.17824810000093,52.24708310000278,52.24708310000278,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
white,2,2,8,1,52.24708310000278,,,,,,,,,,,52.17895219999991,52.24708310000278,0.0434927999995125,52.24708310000278,52.24708310000278,52.24708310000278,53.67543810000279,[0.06],[0.18722222222222223],[1],[0],[0],[1.4471610999971745],['target'],53.675947100000485,53.68799829999989,53.68799829999989,54.677136500002234,,,,,,20,001,2026-02-05_15h08.46.457,visual_search,2024.1.5,None,2026-02-05 15h09.06.702736 +0530,
