Group,Modality,Variable,n,M,SD,SE,Mdn,Min,Max,Skew,SW_p
Single,Lab,RT (ms),315,1565.41,547.91,30.87,1440.2,820.66,5929.12,3.491,0.0
Single,Lab,Trial Dur (s),315,1.61,0.55,0.03,1.48,0.9,6.01,3.456,0.0
Single,Game,RT (ms),351,2971.15,2529.27,135.0,2028.0,0.0,14711.0,1.902,0.0
Single,Game,Success %,351,94.71,18.13,0.97,100.0,8.33,100.0,-3.311,0.0
Single,Game,Hit Rate %,351,94.59,22.66,1.21,100.0,0.0,100.0,-3.941,0.0
Single,Game,False Alarms,351,0.21,0.98,0.05,0.0,0.0,11.0,6.983,0.0
Multiple,Lab,RT (ms),240,1605.04,743.41,47.99,1418.7,822.04,9316.04,5.378,0.0
Multiple,Lab,Trial Dur (s),240,6.66,2.24,0.14,6.14,3.32,22.93,3.069,0.0
Multiple,Game,RT (ms),195,1835.47,1380.56,98.86,1449.0,927.0,12246.0,4.996,0.0
Multiple,Game,Success %,195,96.16,7.65,0.55,100.0,51.85,100.0,-2.927,0.0
Multiple,Game,Hit Rate %,195,97.99,7.65,0.55,100.0,21.43,100.0,-6.575,0.0
Multiple,Game,False Alarms,195,0.61,1.49,0.11,0.0,0.0,13.0,4.915,0.0
