participant,group,has_lab,has_game,lab_trials,lab_file,game_levels,game_file,status
22,Multiple,True,True,15,22_visual_search_2026-02-06_13h34.07.839.csv,20,22_attentional_spotter_results.csv,complete
23,Multiple,True,True,15,23_visual_search_2026-02-06_13h54.30.043.csv,12,23_attentional_spotter_results.csv,complete
24,Multiple,True,True,15,24_visual_search_2026-02-06_13h51.11.393.csv,12,24_attentional_spotter_results.csv,complete
25,Multiple,True,True,15,25_visual_search_2026-02-06_16h02.12.148.csv,10,25_attentional_spotter_results.csv,complete
26,Multiple,True,True,15,26_visual_search_2026-02-06_15h57.34.272.csv,11,26_attentional_spotter_results.csv,complete
27,Multiple,True,True,15,27_visual_search_2026-02-07_05h42.18.301.csv,11,27_attentional_spotter_results.csv,complete
28,Multiple,True,True,15,28_visual_search_2026-02-07_05h49.57.981.csv,12,28_attentional_spotter_results.csv,complete
29,Multiple,True,True,15,29_visual_search_2026-02-07_05h58.57.667.csv,11,29_attentional_spotter_results.csv,complete
30,Multiple,True,True,15,30_visual_search_2026-02-07_06h26.38.028.csv,14,30_attentional_spotter_results.csv,complete
31,Multiple,True,True,15,31_visual_search_2026-02-07_06h42.42.482.csv,11,31_attentional_spotter_results.csv,complete
32,Multiple,True,True,15,32_visual_search_2026-02-08_06h11.56.198.csv,12,32_attentional_spotter_results.csv,complete
33,Multiple,True,True,15,33_visual_search_2026-02-07_13h47.10.439.csv,13,33_attentional_spotter_results.csv,complete
34,Multiple,True,True,15,34_visual_search_2026-02-08_07h04.24.925.csv,10,34_attentional_spotter_results.csv,complete
35,Multiple,True,True,15,35_visual_search_2026-02-07_13h58.15.358.csv,11,35_attentional_spotter_results.csv,complete
36,Multiple,True,True,15,36_visual_search_2026-02-10_18h00.07.778.csv,12,36_attentional_spotter_results.csv,complete
37,Multiple,True,True,15,37_visual_search_2026-02-10_18h11.35.742.csv,13,37_attentional_spotter_results.csv,complete
1,Single,True,True,15,1_visual_search_2026-02-03_15h36.25.316.csv,15,1_attentional_spotter_results.csv,complete
2,Single,True,True,15,2_visual_search_2026-02-03_15h42.21.979.csv,16,2_attentional_spotter_results.csv,complete
3,Single,True,True,15,3_visual_search_2026-02-03_15h54.52.832.csv,16,3_attentional_spotter_results.csv,complete
4,Single,True,True,15,4_visual_search_2026-02-04_11h12.41.113.csv,16,4_attentional_spotter_results.csv,complete
5,Single,True,True,15,5_visual_search_2026-02-04_11h27.03.306.csv,19,5_attentional_spotter_results.csv,complete
6,Single,True,True,15,6_visual_search_2026-02-04_11h30.24.464.csv,39,6_attentional_spotter_results.csv,complete
7,Single,True,True,15,7_visual_search_2026-02-04_08h51.04.289.csv,15,7_attentional_spotter_results.csv,complete
8,Single,True,True,15,8_visual_search_2026-02-04_08h57.06.983.csv,18,8_attentional_spotter_results.csv,complete
9,Single,True,True,15,9_visual_search_2026-02-04_09h11.13.351.csv,15,9_attentional_spotter_results.csv,complete
10,Single,True,True,15,10_visual_search_2026-02-04_09h39.54.454.csv,15,10_attentional_spotter_results.csv,complete
11,Single,True,True,15,11_visual_search_2026-02-04_09h58.33.857.csv,15,11_attentional_spotter_results.csv,complete
12,Single,True,True,15,12_visual_search_2026-02-04_10h30.24.878.csv,15,12_attentional_spotter_results.csv,complete
13,Single,True,True,15,13_visual_search_2026-02-04_11h30.37.231.csv,15,13_attentional_spotter_results.csv,complete
14,Single,True,True,15,14_visual_search_2026-02-05_09h30.51.690.csv,15,14_attentional_spotter_results.csv,complete
15,Single,True,True,15,15_visual_search_2026-02-05_11h48.30.286.csv,16,15_attentional_spotter_results.csv,complete
16,Single,True,True,15,16_visual_search_2026-02-05_11h53.04.319.csv,15,16_attentional_spotter_results.csv,complete
17,Single,True,True,15,17_visual_search_2026-02-05_12h38.52.432.csv,15,17_attentional_spotter_results.csv,complete
18,Single,True,True,15,18_visual_search_2026-02-05_13h30.57.127.csv,16,18_attentional_spotter_results.csv,complete
19,Single,True,True,15,19_visual_search_2026-02-05_14h39.09.206.csv,15,19_attentional_spotter_results.csv,complete
20,Single,True,True,15,20_visual_search_2026-02-05_15h08.46.457.csv,15,20_attentional_spotter_results.csv,complete
21,Single,True,True,15,21_visual_search_2026-02-05_15h30.59.402.csv,15,21_attentional_spotter_results.csv,complete
