target_col,trial.started,mouse.started,square.started,target.started,trial.stopped,mouse.x,mouse.y,mouse.time
,,,,,,,,
white,8.853306699998939,0.0749217000011412,8.93155939999997,8.93155939999997,11.286544800001138,[0.04055555555555555],[0.06222222222222222],[2.37344640000083]
white,12.293539999998757,0.0580675000019255,12.36353439999948,12.36353439999948,14.080124299998715,[-0.08166666666666667],[-0.235],[1.7341402000020025]
red,15.092421500001365,0.0618112000011024,15.162995200000296,15.162995200000296,16.819012200001453,[0.16444444444444445],[0.1688888888888889],[1.6761199000029592]
white,17.82605390000026,0.0575651999970432,17.89986080000017,17.89986080000017,19.349130200000214,[0.09333333333333334],[-0.15666666666666668],[1.4715800000012678]
white,20.359045199998945,0.0598777999985031,20.427590999999666,20.427590999999666,21.93625880000036,[0.1527777777777778],[0.10833333333333334],[1.5263615000003483]
red,22.942350699999224,0.0549543999986781,23.01030940000055,23.01030940000055,24.131855200001155,[0.23833333333333334],[0.10111111111111111],[1.13956060000055]
red,25.141332300001523,0.0588372999991406,25.216096899999684,25.216096899999684,26.930034900000464,[-0.21444444444444444],[-0.13],[1.7384023999984493]
white,27.942653199999768,0.0704284999992523,28.026387599999,28.026387599999,29.95783830000073,[0.23222222222222222],[-0.05277777777777778],[1.9564160000008997]
white,30.958641900000657,0.0507842000006348,31.027873800001544,31.027873800001544,33.09317899999951,[-0.19611111111111112],[-0.13555555555555557],[2.083622900001501]
white,34.09085380000033,0.0457322000002022,34.15788020000036,34.15788020000036,35.749391900000774,[-0.16277777777777777],[-0.24388888888888888],[1.609469299997727]
white,36.75713860000178,0.059474699999555,36.82792189999964,36.82792189999964,38.137858800000686,[0.12],[0.05277777777777778],[1.3280405000004976]
red,39.13981839999906,0.0523057999998854,39.21158020000075,39.21158020000075,40.55564249999952,[-0.23333333333333334],[0.14],[1.3645163000001048]
red,41.5575714000006,0.0567435000011755,41.63443579999876,41.63443579999876,43.00796470000205,[-0.23166666666666666],[0.23833333333333334],[1.3946294000015769]
white,44.02165470000182,0.0618104999994102,44.09600190000128,44.09600190000128,45.578700500002014,[0.0038888888888888888],[0.14222222222222222],[1.5079387000005227]
white,46.58803930000067,0.0567238000003271,46.66030550000141,46.66030550000141,48.48182630000156,[-0.02722222222222222],[-0.0038888888888888888],[1.8453836000007868]
,,,,,,,,
