Timestamp,GameMode,Level,FinalScore,Completed,SuccessRate(%),HitRate(%),FalseAlarms,InitialResponseTime(ms),AvgInterTargetTime(ms),"HitPositions(x,y)"
2026-02-05T19:03:26.244560,singleTarget,1,10,True,100.0,100.0,0,1822,0,"(210.17,155.33)"
2026-02-05T19:03:37.093363,singleTarget,2,20,True,100.0,100.0,0,1352,0,"(121.85,455.53)"
2026-02-05T19:03:54.224929,singleTarget,3,30,True,100.0,100.0,0,1892,0,"(195.14,537.62)"
2026-02-05T19:04:08.997187,singleTarget,4,40,True,100.0,100.0,0,2198,0,"(68.52,448.10)"
2026-02-05T19:04:23.796409,singleTarget,5,50,True,100.0,100.0,0,1443,0,"(273.27,149.98)"
2026-02-05T19:04:39.947254,singleTarget,6,60,True,100.0,100.0,0,1726,0,"(146.93,516.03)"
2026-02-05T19:04:51.403983,singleTarget,7,70,True,100.0,100.0,0,3425,0,"(281.72,286.78)"
2026-02-05T19:05:00.324531,singleTarget,8,80,True,100.0,100.0,0,1485,0,"(260.36,248.86)"
2026-02-05T19:05:07.894267,singleTarget,9,90,True,100.0,100.0,0,1523,0,"(111.06,343.58)"
2026-02-05T19:05:31.782800,singleTarget,10,90,False,100.0,0.0,0,0,0,
2026-02-05T19:05:49.902514,singleTarget,10,10,True,100.0,100.0,0,6598,0,"(61.73,201.81)"
2026-02-05T19:06:03.000680,singleTarget,11,20,True,100.0,100.0,0,4187,0,"(169.05,499.50)"
2026-02-05T19:06:11.344393,singleTarget,12,30,True,100.0,100.0,0,1982,0,"(87.40,256.00)"
2026-02-05T19:06:28.220455,singleTarget,13,40,True,100.0,100.0,0,2292,0,"(78.20,406.93)"
2026-02-05T19:06:42.175070,singleTarget,14,45,True,50.0,100.0,1,6385,0,"(191.55,286.24)"
2026-02-05T19:06:56.414115,singleTarget,15,55,True,100.0,100.0,0,3558,0,"(247.02,95.44)"
