Group,Criterion,n,r,p,sig,ci_lo,ci_hi
Single,Game RT (raw),21,0.2879786493882081,0.205548944759743,ns,-0.164117944357872,0.6400964623254268
Single,Game RT (log),21,0.48475482120977725,0.02593646422950914,*,0.06710361213255216,0.7578554379190684
Single,Success Rate,21,-0.0016986876005103436,0.9941693757245856,ns,-0.43307479479803745,0.43031055104681704
Single,Hit Rate,21,-0.021095922520894476,0.927680369985933,ns,-0.44870327872814497,0.41437143487448314
Single,False Alarms,21,-0.026903746303958018,0.9078431257857071,ns,-0.45333235040551556,0.4095464856931082
Multiple,Game RT (raw),16,0.10106298342503434,0.7095833687432007,ns,-0.4154638821180069,0.5683047887085863
Multiple,Game RT (log),16,0.053110707783797395,0.8451215994904078,ns,-0.4545699191513668,0.5347449871702886
Multiple,Success Rate,16,-0.38075014694481907,0.1456880116693982,ns,-0.7373025107036101,0.14170932418801907
Multiple,Hit Rate,16,-0.37800564109241297,0.1488560020382577,ns,-0.7358359101511235,0.14484943798405245
Multiple,False Alarms,16,0.4491870084631789,0.08091080065283902,ns,-0.05985324475206299,0.7728181679751577
