Group,Window,DV,rho,p_spearman,sig,slope,p_slope,direction,matches_hypothesis
Single,All levels,RT (ms),0.47503342043331875,3.700354880557454e-21,***,261.25318407903563,1.6530240807609325e-18,↑,True
Single,All levels,Log RT,0.5716479132763536,3.375476813549592e-30,***,0.08358316114903731,6.946854482387822e-30,↑,True
Single,All levels,Success Rate (%),-0.18710435753417354,0.0004249784413529789,***,-0.639744476946015,0.004265499512574629,↓,True
Single,All levels,Hit Rate (%),-0.09801685159539078,0.0666222909177351,ns,-0.5161679509213626,0.06604174068402684,↓,True
Single,All levels,False Alarms,0.18710435753417354,0.0004249784413529789,***,0.004985260474168838,0.6833950748363578,↑,True
Single,All levels,Avg Inter-Target Time (ms),,,,0.0,1.0,↓,False
Single,Levels 1–10,RT (ms),0.37849224456933817,3.0115890124462157e-09,***,176.9555672373504,1.2410578608226355e-06,↑,True
Single,Levels 1–10,Log RT,0.42152131041498214,5.639864759561142e-11,***,0.06979864829741361,6.815957976096753e-10,↑,True
Single,Levels 1–10,Success Rate (%),-0.05606822121379612,0.3973576370812737,ns,-0.19016353998531793,0.5804673633161004,↓,True
Single,Levels 1–10,Hit Rate (%),-0.04957169087283308,0.45436609887391644,ns,-0.3158716227325671,0.4572670652091223,↓,True
Single,Levels 1–10,False Alarms,0.05606822121379612,0.3973576370812737,ns,-0.007380372885987462,0.7697835191525249,↑,True
Single,Levels 1–10,Avg Inter-Target Time (ms),,,,0.0,1.0,↓,False
Multiple,All levels,RT (ms),0.12188039676975522,0.08962890493901673,ns,-25.10774490239423,0.39561557173935114,↑,True
Multiple,All levels,Log RT,0.12188039676975522,0.08962890493901673,ns,0.0028128108678970604,0.7567966179305208,↑,True
Multiple,All levels,Success Rate (%),-0.40661320103555065,3.6709555480320212e-09,***,-0.8025376332527931,4.159848161479848e-07,↓,True
Multiple,All levels,Hit Rate (%),-0.4149198325792033,1.630859646965607e-09,***,-0.6397046122641645,6.790770814280051e-05,↓,True
Multiple,All levels,False Alarms,0.43779031524567114,1.5531185963782878e-10,***,0.16467965584442903,8.734243536087871e-08,↑,True
Multiple,All levels,Avg Inter-Target Time (ms),0.6464999755193739,1.831345800743977e-24,***,99.90702565276932,6.177181152140079e-20,↑,True
Multiple,Levels 1–10,RT (ms),0.1821247334359644,0.01525908137676639,*,-17.07940280448543,0.6381201707407667,↑,True
Multiple,Levels 1–10,Log RT,0.1821247334359644,0.01525908137676639,*,0.00972872945780444,0.3756082030447736,↑,True
Multiple,Levels 1–10,Success Rate (%),-0.3448276663393397,2.60038897953744e-06,***,-0.5163594624376115,0.0009118161442709803,↓,True
Multiple,Levels 1–10,Hit Rate (%),-0.460393502895681,1.13722887333221e-10,***,-0.7991451504872196,2.6045768240002252e-05,↓,True
Multiple,Levels 1–10,False Alarms,0.3724213944424181,3.3172821718933136e-07,***,0.08968735820927769,0.0001622706784861186,↑,True
Multiple,Levels 1–10,Avg Inter-Target Time (ms),0.6245564247072949,1.5574955411848083e-20,***,103.68922714603619,1.1209141154081945e-15,↑,True
